Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate ACG,US East (N. Virginia),PrimaryVPC,Amazon Virtual Private Cloud (VPC),0,1792,21504.00,USD,"Working days per month (30), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Number of subnet associations (4), Number of Site-to-Site VPN Connections (0)"
My Estimate ACG,US East (N. Virginia),NAT,Amazon Virtual Private Cloud (VPC),0,1675.35,20104.20,USD,Number of NAT Gateways (1)
My Estimate ACG,US East (N. Virginia),S3,S3 Standard,0,24.8,297.60,USD,S3 Standard storage (1 TB per month)
My Estimate ACG,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate ACG,US East (N. Virginia),Web Servers,Amazon EC2,0,824.9,9898.80,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (50 GB), Instance type (t4g.xlarge)"
My Estimate ACG,US East (N. Virginia),App Servers,Amazon EC2,0,824.9,9898.80,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (50 GB), Instance type (t4g.xlarge)"
My Estimate ACG,US East (N. Virginia),PrimaryDB,Amazon RDS for MySQL,0,2280.98,27371.76,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m4.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate ACG,US East (N. Virginia),ReadReplicaDB,Amazon RDS for MySQL,0,1140.49,13685.88,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m4.4xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
My Estimate ACG,US East (N. Virginia),ELB-Public,Network Load Balancer,0,138.84,1666.08,USD,"Number of Network Load Balancers (8), Average TLS connection duration (2 seconds), Average TCP connection duration (2 seconds), Average number of new TCP connections (10 per second), Average number of new TLS connections (10 per second)"
My Estimate ACG,US East (N. Virginia),ELB-Private,Application Load Balancer,0,135.14000000000001,1621.68,USD,Number of Application Load Balancers (8)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
